,LOAN_ID,Monthly.Rpt.Prd,Servicer.Name,LAST_RT,LAST_UPB,Loan.Age,Months.To.Legal.Mat,Adj.Month.To.Mat,Maturity.Date,MSA,Delq.Status,MOD_FLAG,Zero.Bal.Code,ZB_DTE,LPI_DTE,FCC_DTE,DISP_DT,FCC_COST,PP_COST,AR_COST,IE_COST,TAX_COST,NS_PROCS,CE_PROCS,RMW_PROCS,O_PROCS,NON_INT_UPB,PRIN_FORG_UPB_FHFA,REPCH_FLAG,PRIN_FORG_UPB_OTH,TRANSFER_FLG
7815526,488093140481,02/01/2010,OTHER,4.375,,0,180,179.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815527,488093140481,03/01/2010,,4.375,,1,179,178.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815528,488093140481,04/01/2010,,4.375,,2,178,177.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815529,488093140481,05/01/2010,,4.375,,3,177,176.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815530,488093140481,06/01/2010,,4.375,,4,176,174.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815531,488093140481,07/01/2010,,4.375,,5,175,173.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815532,488093140481,08/01/2010,,4.375,257994.51,6,174,172.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815533,488093140481,09/01/2010,,4.375,256905.5,7,173,171.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815534,488093140481,10/01/2010,,4.375,255812.52,8,172,170.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815535,488093140481,11/01/2010,,4.375,254715.56,9,171,169.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815536,488093140481,12/01/2010,,4.375,253614.6,10,170,168.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815537,488093140481,01/01/2011,,4.375,252509.63,11,169,167.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815538,488093140481,02/01/2011,,4.375,251400.63,12,168,166.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815539,488093140481,03/01/2011,,4.375,250287.58,13,167,165.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815540,488093140481,04/01/2011,,4.375,249170.48,14,166,164.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815541,488093140481,05/01/2011,,4.375,248049.3,15,165,163.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815542,488093140481,06/01/2011,,4.375,246924.04,16,164,162.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815543,488093140481,07/01/2011,,4.375,245794.67,17,163,161.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815544,488093140481,08/01/2011,,4.375,244661.19,18,162,160.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815545,488093140481,09/01/2011,,4.375,243523.57,19,161,159.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815546,488093140481,10/01/2011,,4.375,142017.22,20,160,81.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815547,488093140481,11/01/2011,,4.375,65231.94,21,159,35.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815548,488093140481,12/01/2011,,4.375,63440.15,22,158,34.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815549,488093140481,01/01/2012,,4.375,61641.83,23,157,33.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815550,488093140481,02/01/2012,,4.375,59836.96,24,156,32.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815551,488093140481,03/01/2012,,4.375,58025.51,25,155,31.0,02/2025,38300,0,N,,,,,,,,,,,,,,,,,,,N
7815552,488093140481,04/01/2012,,4.375,58025.51,26,154,0.0,02/2025,38300,X,N,1.0,04/2012,,,,,,,,,,,,,,,N,,
