,LOAN_ID,Monthly.Rpt.Prd,Servicer.Name,LAST_RT,LAST_UPB,Loan.Age,Months.To.Legal.Mat,Adj.Month.To.Mat,Maturity.Date,MSA,Delq.Status,MOD_FLAG,Zero.Bal.Code,ZB_DTE,LPI_DTE,FCC_DTE,DISP_DT,FCC_COST,PP_COST,AR_COST,IE_COST,TAX_COST,NS_PROCS,CE_PROCS,RMW_PROCS,O_PROCS,NON_INT_UPB,PRIN_FORG_UPB_FHFA,REPCH_FLAG,PRIN_FORG_UPB_OTH,TRANSFER_FLG
11677814,681491202049,02/01/2010,"METLIFE BANK, NA",5.125,,0,360,359.0,02/2040,31100,0,N,,,,,,,,,,,,,,,,,,,N
11677815,681491202049,03/01/2010,,5.125,,1,359,359.0,02/2040,31100,0,N,,,,,,,,,,,,,,,,,,,N
11677816,681491202049,04/01/2010,,5.125,,2,358,358.0,02/2040,31100,0,N,,,,,,,,,,,,,,,,,,,N
11677817,681491202049,05/01/2010,,5.125,,3,357,357.0,02/2040,31100,0,N,,,,,,,,,,,,,,,,,,,N
11677818,681491202049,06/01/2010,,5.125,,4,356,356.0,02/2040,31100,0,N,,,,,,,,,,,,,,,,,,,N
11677819,681491202049,07/01/2010,,5.125,,5,355,355.0,02/2040,31100,0,N,,,,,,,,,,,,,,,,,,,N
11677820,681491202049,08/01/2010,,5.125,238291.23,6,354,354.0,02/2040,31100,0,N,,,,,,,,,,,,,,,,,,,N
11677821,681491202049,09/01/2010,,5.125,238002.16,7,353,353.0,02/2040,31100,0,N,,,,,,,,,,,,,,,,,,,N
11677822,681491202049,10/01/2010,,5.125,237711.86,8,352,352.0,02/2040,31100,0,N,,,,,,,,,,,,,,,,,,,N
11677823,681491202049,11/01/2010,,5.125,237420.32,9,351,351.0,02/2040,31100,0,N,,,,,,,,,,,,,,,,,,,N
11677824,681491202049,12/01/2010,,5.125,237127.53,10,350,350.0,02/2040,31100,0,N,,,,,,,,,,,,,,,,,,,N
11677825,681491202049,01/01/2011,,5.125,236833.49,11,349,349.0,02/2040,31100,0,N,,,,,,,,,,,,,,,,,,,N
11677826,681491202049,02/01/2011,,5.125,236538.2,12,348,348.0,02/2040,31100,0,N,,,,,,,,,,,,,,,,,,,N
11677827,681491202049,03/01/2011,,5.125,236241.65,13,347,347.0,02/2040,31100,0,N,,,,,,,,,,,,,,,,,,,N
11677828,681491202049,04/01/2011,,5.125,235943.83,14,346,346.0,02/2040,31100,0,N,,,,,,,,,,,,,,,,,,,N
11677829,681491202049,05/01/2011,,5.125,235644.74,15,345,345.0,02/2040,31100,0,N,,,,,,,,,,,,,,,,,,,N
11677830,681491202049,06/01/2011,,5.125,235344.37,16,344,344.0,02/2040,31100,0,N,,,,,,,,,,,,,,,,,,,N
11677831,681491202049,07/01/2011,,5.125,235042.72,17,343,343.0,02/2040,31100,0,N,,,,,,,,,,,,,,,,,,,N
11677832,681491202049,08/01/2011,,5.125,234739.78,18,342,342.0,02/2040,31100,0,N,,,,,,,,,,,,,,,,,,,N
11677833,681491202049,09/01/2011,,5.125,234739.78,19,341,0.0,02/2040,31100,X,N,1.0,09/2011,,,,,,,,,,,,,,,N,,
