,LOAN_ID,Monthly.Rpt.Prd,Servicer.Name,LAST_RT,LAST_UPB,Loan.Age,Months.To.Legal.Mat,Adj.Month.To.Mat,Maturity.Date,MSA,Delq.Status,MOD_FLAG,Zero.Bal.Code,ZB_DTE,LPI_DTE,FCC_DTE,DISP_DT,FCC_COST,PP_COST,AR_COST,IE_COST,TAX_COST,NS_PROCS,CE_PROCS,RMW_PROCS,O_PROCS,NON_INT_UPB,PRIN_FORG_UPB_FHFA,REPCH_FLAG,PRIN_FORG_UPB_OTH,TRANSFER_FLG
11196734,657121407570,01/01/2010,"BANK OF AMERICA, N.A.",5.875,,1,359,358.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196735,657121407570,02/01/2010,,5.875,,2,358,358.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196736,657121407570,03/01/2010,,5.875,,3,357,357.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196737,657121407570,04/01/2010,,5.875,,4,356,356.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196738,657121407570,05/01/2010,,5.875,,5,355,355.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196739,657121407570,06/01/2010,,5.875,,6,354,354.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196740,657121407570,07/01/2010,,5.875,135015.03,7,353,353.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196741,657121407570,08/01/2010,,5.875,134871.55,8,352,352.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196742,657121407570,09/01/2010,,5.875,134727.37,9,351,351.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196743,657121407570,10/01/2010,,5.875,134582.48,10,350,350.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196744,657121407570,11/01/2010,,5.875,134436.88,11,349,349.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196745,657121407570,12/01/2010,,5.875,134290.57,12,348,348.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196746,657121407570,01/01/2011,,5.875,134143.54,13,347,347.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196747,657121407570,02/01/2011,,5.875,133995.79,14,346,346.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196748,657121407570,03/01/2011,,5.875,133847.32,15,345,345.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196749,657121407570,04/01/2011,,5.875,133698.12,16,344,344.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196750,657121407570,05/01/2011,,5.875,133548.19,17,343,343.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196751,657121407570,06/01/2011,,5.875,133397.53,18,342,342.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196752,657121407570,07/01/2011,,5.875,133246.13,19,341,341.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196753,657121407570,08/01/2011,,5.875,133093.99,20,340,340.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196754,657121407570,09/01/2011,,5.875,132941.11,21,339,339.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196755,657121407570,10/01/2011,,5.875,132787.48,22,338,338.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196756,657121407570,11/01/2011,,5.875,132633.1,23,337,337.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196757,657121407570,12/01/2011,,5.875,132477.96,24,336,336.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196758,657121407570,01/01/2012,,5.875,132322.06,25,335,335.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196759,657121407570,02/01/2012,,5.875,132165.4,26,334,334.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196760,657121407570,03/01/2012,,5.875,132007.97,27,333,333.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196761,657121407570,04/01/2012,,5.875,131849.77,28,332,332.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196762,657121407570,05/01/2012,,5.875,131690.79,29,331,331.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196763,657121407570,06/01/2012,,5.875,131531.04,30,330,330.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196764,657121407570,07/01/2012,,5.875,131370.5,31,329,329.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196765,657121407570,08/01/2012,,5.875,131209.18,32,328,328.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196766,657121407570,09/01/2012,,5.875,131047.07,33,327,327.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196767,657121407570,10/01/2012,,5.875,130884.16,34,326,326.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196768,657121407570,11/01/2012,,5.875,130720.46,35,325,325.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196769,657121407570,12/01/2012,,5.875,130555.96,36,324,324.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196770,657121407570,01/01/2013,,5.875,130390.65,37,323,323.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196771,657121407570,02/01/2013,,5.875,130224.53,38,322,322.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196772,657121407570,03/01/2013,,5.875,130057.6,39,321,321.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196773,657121407570,04/01/2013,,5.875,129889.85,40,320,320.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196774,657121407570,05/01/2013,,5.875,129721.28,41,319,319.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196775,657121407570,06/01/2013,,5.875,129551.88,42,318,318.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196776,657121407570,07/01/2013,,5.875,129381.65,43,317,317.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196777,657121407570,08/01/2013,,5.875,129210.59,44,316,316.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196778,657121407570,09/01/2013,,5.875,129038.69,45,315,315.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196779,657121407570,10/01/2013,,5.875,128865.95,46,314,314.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196780,657121407570,11/01/2013,,5.875,128692.37,47,313,313.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196781,657121407570,12/01/2013,,5.875,128517.94,48,312,312.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196782,657121407570,01/01/2014,,5.875,128342.65,49,311,311.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196783,657121407570,02/01/2014,,5.875,128166.5,50,310,310.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196784,657121407570,03/01/2014,,5.875,127989.49,51,309,309.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196785,657121407570,04/01/2014,,5.875,127811.62,52,308,308.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196786,657121407570,05/01/2014,,5.875,127632.87,53,307,307.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196787,657121407570,06/01/2014,,5.875,127453.25,54,306,306.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196788,657121407570,07/01/2014,,5.875,127272.75,55,305,305.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196789,657121407570,08/01/2014,,5.875,127091.37,56,304,304.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196790,657121407570,09/01/2014,,5.875,126909.1,57,303,303.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196791,657121407570,10/01/2014,,5.875,126725.94,58,302,302.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196792,657121407570,11/01/2014,,5.875,126541.88,59,301,301.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196793,657121407570,12/01/2014,,5.875,126356.92,60,300,300.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196794,657121407570,01/01/2015,,5.875,126171.05,61,299,299.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196795,657121407570,02/01/2015,,5.875,125984.27,62,298,298.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
11196796,657121407570,03/01/2015,,5.875,125796.58,63,297,297.0,12/2039,32900,0,N,,,,,,,,,,,,,,,,,,,N
