,LOAN_ID,Monthly.Rpt.Prd,Servicer.Name,LAST_RT,LAST_UPB,Loan.Age,Months.To.Legal.Mat,Adj.Month.To.Mat,Maturity.Date,MSA,Delq.Status,MOD_FLAG,Zero.Bal.Code,ZB_DTE,LPI_DTE,FCC_DTE,DISP_DT,FCC_COST,PP_COST,AR_COST,IE_COST,TAX_COST,NS_PROCS,CE_PROCS,RMW_PROCS,O_PROCS,NON_INT_UPB,PRIN_FORG_UPB_FHFA,REPCH_FLAG,PRIN_FORG_UPB_OTH,TRANSFER_FLG
1106929,154494668147,03/01/2010,"JP MORGAN CHASE BANK, NA",5.25,,1,359,353.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106930,154494668147,04/01/2010,,5.25,,2,358,353.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106931,154494668147,05/01/2010,,5.25,,3,357,351.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106932,154494668147,06/01/2010,,5.25,,4,356,349.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106933,154494668147,07/01/2010,,5.25,,5,355,346.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106934,154494668147,08/01/2010,,5.25,,6,354,344.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106935,154494668147,09/01/2010,,5.25,298096.21,7,353,342.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106936,154494668147,10/01/2010,,5.25,297216.16,8,352,339.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106937,154494668147,11/01/2010,,5.25,296332.26,9,351,337.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106938,154494668147,12/01/2010,,5.25,294925.72,10,350,333.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106939,154494668147,01/01/2011,,5.25,293031.8,11,349,329.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106940,154494668147,02/01/2011,,5.25,289629.59,12,348,320.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106941,154494668147,03/01/2011,,5.25,288212.5,13,347,317.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106942,154494668147,04/01/2011,,5.25,286789.21,14,346,314.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106943,154494668147,05/01/2011,,5.25,285359.69,15,345,310.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106944,154494668147,06/01/2011,,5.25,283923.92,16,344,307.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106945,154494668147,07/01/2011,,5.25,283481.87,17,343,306.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106946,154494668147,08/01/2011,,5.25,282037.88,18,342,303.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106947,154494668147,09/01/2011,,5.25,280587.58,19,341,299.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106948,154494668147,10/01/2011,,5.25,279130.93,20,340,296.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106949,154494668147,11/01/2011,,5.25,277667.91,21,339,293.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106950,154494668147,12/01/2011,,5.25,276198.49,22,338,290.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106951,154494668147,01/01/2012,,5.25,274722.64,23,337,287.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106952,154494668147,02/01/2012,,5.25,273240.33,24,336,284.0,02/2040,0,0,N,,,,,,,,,,,,,,,,,,,N
1106953,154494668147,03/01/2012,,5.25,273240.33,25,335,0.0,02/2040,0,X,N,1.0,03/2012,,,,,,,,,,,,,,,N,,
