,LOAN_ID,Monthly.Rpt.Prd,Servicer.Name,LAST_RT,LAST_UPB,Loan.Age,Months.To.Legal.Mat,Adj.Month.To.Mat,Maturity.Date,MSA,Delq.Status,MOD_FLAG,Zero.Bal.Code,ZB_DTE,LPI_DTE,FCC_DTE,DISP_DT,FCC_COST,PP_COST,AR_COST,IE_COST,TAX_COST,NS_PROCS,CE_PROCS,RMW_PROCS,O_PROCS,NON_INT_UPB,PRIN_FORG_UPB_FHFA,REPCH_FLAG,PRIN_FORG_UPB_OTH,TRANSFER_FLG
10726219,633375977499,01/01/2010,"WELLS FARGO BANK, N.A.",5.125,,0,360,359.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726220,633375977499,02/01/2010,,5.125,,1,359,358.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726221,633375977499,03/01/2010,,5.125,,2,358,357.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726222,633375977499,04/01/2010,,5.125,,3,357,357.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726223,633375977499,05/01/2010,,5.125,,4,356,356.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726224,633375977499,06/01/2010,,5.125,,5,355,354.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726225,633375977499,07/01/2010,,5.125,268077.66,6,354,354.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726226,633375977499,08/01/2010,,5.125,267752.46,7,353,353.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726227,633375977499,09/01/2010,,5.125,267752.46,8,352,353.0,01/2040,35620,1,N,,,,,,,,,,,,,,,,,,,N
10726228,633375977499,10/01/2010,,5.125,267097.9,9,351,351.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726229,633375977499,11/01/2010,,5.125,266768.52,10,350,350.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726230,633375977499,12/01/2010,,5.125,266437.73,11,349,349.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726231,633375977499,01/01/2011,,5.125,266105.53,12,348,348.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726232,633375977499,02/01/2011,,5.125,265771.91,13,347,347.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726233,633375977499,03/01/2011,,5.125,265436.87,14,346,346.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726234,633375977499,04/01/2011,,5.125,265100.4,15,345,345.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726235,633375977499,05/01/2011,,5.125,264762.49,16,344,344.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726236,633375977499,06/01/2011,,5.125,264423.14,17,343,343.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726237,633375977499,07/01/2011,,5.125,264082.34,18,342,342.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726238,633375977499,08/01/2011,,5.125,263740.08,19,341,341.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726239,633375977499,09/01/2011,,5.125,263396.36,20,340,340.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726240,633375977499,10/01/2011,,5.125,263051.17,21,339,339.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726241,633375977499,11/01/2011,,5.125,262704.51,22,338,338.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726242,633375977499,12/01/2011,,5.125,262356.37,23,337,337.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726243,633375977499,01/01/2012,,5.125,262006.74,24,336,336.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726244,633375977499,02/01/2012,,5.125,261655.62,25,335,335.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726245,633375977499,03/01/2012,,5.125,261303.0,26,334,334.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
10726246,633375977499,04/01/2012,,5.125,260948.87,27,333,333.0,01/2040,35620,0,N,,,,,,,,,,,,,,,,,,,N
