,LOAN_ID,Monthly.Rpt.Prd,Servicer.Name,LAST_RT,LAST_UPB,Loan.Age,Months.To.Legal.Mat,Adj.Month.To.Mat,Maturity.Date,MSA,Delq.Status,MOD_FLAG,Zero.Bal.Code,ZB_DTE,LPI_DTE,FCC_DTE,DISP_DT,FCC_COST,PP_COST,AR_COST,IE_COST,TAX_COST,NS_PROCS,CE_PROCS,RMW_PROCS,O_PROCS,NON_INT_UPB,PRIN_FORG_UPB_FHFA,REPCH_FLAG,PRIN_FORG_UPB_OTH,TRANSFER_FLG
12756510,735350666302,01/01/2010,"JP MORGAN CHASE BANK, NA",4.375,,1,179,172.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756511,735350666302,02/01/2010,,4.375,,2,178,157.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756512,735350666302,03/01/2010,,4.375,,3,177,153.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756513,735350666302,04/01/2010,,4.375,,4,176,148.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756514,735350666302,05/01/2010,,4.375,,5,175,144.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756515,735350666302,06/01/2010,,4.375,,6,174,142.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756516,735350666302,07/01/2010,,4.375,83114.03,7,173,141.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756517,735350666302,08/01/2010,,4.375,81308.42,8,172,137.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756518,735350666302,09/01/2010,,4.375,80846.23,9,171,136.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756519,735350666302,10/01/2010,,4.375,79182.35,10,170,132.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756520,735350666302,11/01/2010,,4.375,77812.41,11,169,129.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756521,735350666302,12/01/2010,,4.375,76337.47,12,168,126.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756522,735350666302,01/01/2011,,4.375,75857.15,13,167,125.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756523,735350666302,02/01/2011,,4.375,75375.08,14,166,124.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756524,735350666302,03/01/2011,,4.375,74891.25,15,165,123.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756525,735350666302,04/01/2011,,4.375,74405.66,16,164,122.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756526,735350666302,05/01/2011,,4.375,73918.3,17,163,121.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756527,735350666302,06/01/2011,,4.375,73429.16,18,162,120.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756528,735350666302,07/01/2011,,4.375,72938.24,19,161,119.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756529,735350666302,08/01/2011,,4.375,72445.53,20,160,118.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756530,735350666302,09/01/2011,,4.375,71951.02,21,159,117.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756531,735350666302,10/01/2011,,4.375,71454.71,22,158,116.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756532,735350666302,11/01/2011,,4.375,66956.59,23,157,107.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756533,735350666302,12/01/2011,,4.375,66442.07,24,156,106.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756534,735350666302,01/01/2012,,4.375,58925.68,25,155,92.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756535,735350666302,02/01/2012,,4.375,58381.88,26,154,91.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756536,735350666302,03/01/2012,,4.375,55836.1,27,153,86.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756537,735350666302,04/01/2012,,4.375,55281.04,28,152,85.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756538,735350666302,05/01/2012,,4.375,54723.96,29,151,84.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756539,735350666302,06/01/2012,,4.375,45730.84,30,150,69.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756540,735350666302,07/01/2012,,4.375,45138.94,31,149,68.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756541,735350666302,08/01/2012,,4.375,44544.88,32,148,67.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756542,735350666302,09/01/2012,,4.375,32448.65,33,147,47.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756543,735350666302,10/01/2012,,4.375,31808.32,34,146,46.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756544,735350666302,11/01/2012,,4.375,31165.66,35,145,45.0,12/2024,19100,0,N,,,,,,,,,,,,,,,,,,,N
12756545,735350666302,12/01/2012,,4.375,31165.66,36,144,0.0,12/2024,19100,X,N,1.0,12/2012,,,,,,,,,,,,,,,N,,
